qos0,qos1,qos2
28873,30909,10643
33525,31584,11936
32134,30939,5012
30555,31426,4763
31538,30267,4961
30668,31059,9150
30604,32267,13141
30513,31496,14241
29268,30188,13685
31850,29667,13632
30605,30850,14067
30918,30598,13360
30658,32522,12875
30716,28763,11779
21598,27335,13026
27735,30082,14280
24265,29901,13691
22070,30969,11563
53262,31361,13982
33994,30740,14446
30858,31122,14242
30901,31867,14158
29893,30532,12749
31642,30705,13125
29599,32033,13188
31564,29202,13523
30413,32326,13131
30636,29030,12768
30762,31442,12838
29444,31322,12533
31701,27621,12578
30487,27981,12266
28934,19280,10573
32011,13362,13580
30992,11849,12613
30327,12386,11013
31064,30780,14487
30365,34579,13896
30720,32218,12217
30694,32228,13819
30083,35545,13472
31323,32762,12886
29518,35318,12302
31056,30037,13124
31134,35448,13391
30589,30379,12006
30576,28351,10363
29786,31975,12625
30386,34231,12326
31261,33474,10169
30868,34198,14133
30814,31115,12775
30596,32864,13335
30916,31143,14456
30497,32602,12907
30377,32824,14782
30110,33937,13231
31605,33100,14154
30574,31066,14129
30678,30954,13601
30125,32277,14258
29382,30953,14289
32160,30330,14200
29956,31827,13970
31055,32529,14612
30660,31727,14049
30745,30427,14358
30772,32450,14467
29369,32576,14649
30962,28954,13533
31316,30016,14629
31033,31229,13722
29401,30962,15148
31419,34391,15436
30457,30109,14505
30914,33220,15708
30508,30732,14619
30033,27153,14959
19219,28388,14910
23214,31491,14694
22436,30301,14924
17282,30623,13818
52473,27702,13222
9443,28014,13977
8392,30349,11405
2071,31815,14422
30830,32786,15105
30240,31395,13237
31169,30314,13691
30745,32159,12900
30417,31332,12341
30867,25846,12728
30349,20736,12065
30680,30469,12909
23648,32719,12089
21800,34048,11840
21662,30932,7242
21052,31783,15021
49804,31645,14994
41977,27969,13860
31592,30922,13654
33375,30289,12327
30650,31208,13090
30620,31723,11829
30696,34895,12073
30065,31774,11819
31302,31326,11347
30483,30538,10649
30568,31842,11975
30663,30958,11666
30774,35042,11235
30465,30552,11004
30344,28343,11866
31099,31383,11085
30390,30748,11846
29976,31333,11158
31396,29150,8312
30439,27498,8466
30675,12407,14053
30578,10916,8769
30841,10347,11547
30478,17560,13720
30648,34932,9967
30578,32606,13713
30640,35693,11321
28946,35196,9024
32073,31950,12687
30831,34239,9962
30242,32128,14005
30949,31333,13347
30632,34718,11266
30728,29896,11928
30774,29324,10642
30065,27201,11919
31132,31130,11323
30462,29974,11538
30715,34351,10793
29973,34496,11757
31188,31634,11531
30242,30867,11294
31341,33866,9390
30393,32548,9394
30719,32200,13157
30588,31175,12861
30265,28240,12325
30681,29916,11612
30849,35345,8970
30506,25949,11515
30811,28233,12554
30597,24152,11335
30550,31983,5170
30737,32032,8820
30578,35001,8608
30443,30602,8814
30780,31101,8683
30432,30978,8782
30556,32244,8820
30890,30409,8858
20620,34841,8786
26985,29248,8677
24754,30527,8648
18672,34869,8617
45934,28945,8950
30478,25751,8790
33136,28501,8878
40061,31871,7624
35059,31857,9746
29579,35968,8937
31070,30155,8573
30549,35261,8635
12253,33750,8956
30625,30042,4951
30676,28751,6638
30431,11632,4998
30768,32562,5940
30561,25780,15691
29639,19907,11210
31588,36086,10150
30685,34256,9938
30646,32602,9159
30455,33640,8940
30824,33941,8815
30433,34022,8752
30624,30665,8689
30795,32307,8796
30537,32631,8728
30713,31942,125
28000,23870,11234
20643,34095,10924
20434,29062,10827
22178,30106,10901
37284,32204,11126
44229,30868,5864
41567,31458,5854
30553,30475,5344
30706,32545,5495
30446,29876,15263
29685,31369,11890
30762,27641,12602
31073,29816,10460
31104,30249,10081
30711,28120,10121
30481,28506,9834
30773,24531,9488
30525,32423,8940
30721,29677,8814
30630,32737,8741
30631,30141,8668
30574,34898,8630
30632,30582,9020
30590,29790,8748
30682,28535,8686
30537,33175,8470
30552,30012,9173
30782,30911,7746
30494,29704,9585
30403,12725,9030
30993,12041,8715
30625,9484,8686
30542,14689,8787
30567,36085,8811
30689,38332,8687
30623,33530,8773
30704,37108,7750
30745,36181,9358
30427,35794,9082
30652,37250,8856
30500,35945,8708
30991,32395,8897
30376,35375,8612
30645,33676,8675
30552,33377,8863
30646,30200,8727
30742,32433,8780
30561,30977,8779
30663,24471,
30527,32160,
30723,36358,
30558,30844,
30621,32869,
30634,32125,
30687,31515,
30535,33351,
30686,33605,
30654,31942,
30630,31041,
30718,30732,
30512,29188,
30584,34632,
30730,34283,
30578,30876,
24577,25507,
23219,28089,
20670,33177,
16218,30682,
,28599,
,31915,
,13223,