1-175,40-175,55-175,70-175,85-175,100-175,115-175,130-175,145-175,160-175
350,7007,9252,11991,14917,17452,20642,20629,24901,27296
350,7042,9998,14005,14885,17564,18674,19694,25469,28302
350,6904,9625,18422,15018,17572,20806,19608,25027,29036
350,7100,9625,13958,14662,17428,20197,20375,26474,27353
350,6964,9625,12250,14787,17500,20206,20357,23814,25074
350,6936,9625,12250,14875,17500,20629,19846,26503,27347
350,7053,9625,12250,15021,17500,19694,20627,24922,26779
350,6947,9625,12250,14795,17500,19608,20620,24283,32604
350,7049,9233,12250,15093,17500,20375,20002,25385,27963
350,6999,10017,12250,14725,17500,20357,20055,26982,16575
350,6993,11780,12250,14904,17500,19846,19976,24218,30067
350,6959,17104,12250,14712,17500,20627,20709,26495,29896
350,7042,9616,12250,14997,17500,20620,19364,25107,31637
350,7065,9625,12250,14845,17500,20002,20991,25500,34520
350,6976,9625,12250,14907,17500,20055,19778,23183,33761
350,6976,9625,12250,14751,17557,19976,18987,27573,39267
350,6992,7547,12250,14875,17443,20709,21143,24986,28745
350,6981,11703,12250,14875,17500,19364,19831,25085,27496
350,7143,9625,12250,14875,17500,20991,20127,23453,34513
350,6910,9625,12250,15025,17498,19778,20134,27734,32749
350,6952,9625,12250,14789,17448,18987,20350,25528,32671
350,3988,9625,12250,14902,17554,21143,19435,24561,28494
350,17016,8750,12250,14867,17356,19831,20532,20101,29832
350,6959,10625,12250,14792,17622,20127,20467,27637,27668
350,7059,19125,12250,14999,17477,20134,20047,28643,32437
350,6968,9625,12250,14921,17500,20350,19844,26097,31205
350,7104,9625,12250,14841,17498,19435,19994,24569,29183
350,6869,9625,12250,14867,17547,20532,20257,25750,30397
350,7105,9625,12250,14954,17500,20467,19839,24422,29389
350,7012,9625,12250,14668,17496,20047,20367,26028,28344
350,6748,9625,12250,15125,17504,19844,20471,26284,28587
350,7167,9173,12250,14625,17414,19994,19985,18880,27848
350,6968,10072,12250,14875,17542,20257,20247,12881,28665
350,7082,9630,12250,15050,17544,19839,19651,11901,29221
350,6929,9625,12250,14768,17500,20367,21036,10289,28525
350,7035,9625,12250,14871,17500,20471,19881,30786,28453
350,7026,9625,12250,14894,17500,19985,20108,33644,28239
350,6981,9625,12250,14792,17500,20247,19902,29191,27827
350,7012,9625,12250,14875,17477,19651,20257,27377,29367
350,6980,9625,12250,15055,12357,21036,20196,28252,26710
350,7003,9625,12250,14759,21806,19881,20039,29631,28999
350,6988,9625,12250,14966,17485,20108,20233,29135,27424
350,7002,9625,12250,14866,18375,19902,19730,31178,28892
350,7037,9625,12250,14294,17500,20257,17209,25427,27342
,6050,9625,12250,15517,17500,20196,10326,29546,27571
,14915,9625,12250,14673,17500,20039,26447,26620,28846
,6981,9625,12250,15045,17154,20233,32786,26548,28302
,7061,9625,12250,14848,17747,19730,28528,25673,27314
,6968,9625,12250,14727,17599,17209,24958,23915,27977
,6968,9625,12250,15069,17500,10326,21232,24740,29546
,6807,9625,12250,14751,17500,26447,20049,25510,25128
,7220,9625,12250,14819,17500,32786,20125,28518,29730
,6992,9625,12250,15065,17466,28528,20125,26609,27646
,7012,9625,12250,14671,17663,24958,19425,24317,28468
,6982,9625,12250,15010,17370,21232,20047,27168,28444
,7022,9625,12250,14938,17492,20049,20728,24821,26445
,7051,9625,12250,14677,17509,20125,20301,26015,29692
,6929,9625,12250,15194,17500,20125,20130,25330,
,7008,9625,12250,14577,17500,19425,20119,26372,
,6995,9625,12250,15029,17498,20047,,25698,
,7034,9625,12250,14804,17502,20728,,24416,
,6970,9625,12250,15108,17509,20301,,23782,
,7023,9625,12250,14720,17491,20130,,26788,
,6980,9625,12250,14735,17500,20119,,25507,
,7043,9625,12250,14891,17379,,,26936,
,6949,9625,,14817,17532,,,24175,
,7012,,,14653,17652,,,25318,
,7031,,,15327,17437,,,,
,6957,,,14810,17500,,,,
,7026,,,14845,,,,,
,6954,,,14783,,,,,
,7015,,,15308,,,,,
,7014,,,14460,,,,,
,6987,,,14892,,,,,
,7033,,,14798,,,,,
,7016,,,15379,,,,,
,6946,,,14506,,,,,
,6995,,,14821,,,,,
,7007,,,14823,,,,,
,7019,,,15117,,,,,
,6997,,,14442,,,,,
,7045,,,15036,,,,,
,6934,,,14927,,,,,
,6995,,,14823,,,,,
,6999,,,15225,,,,,
,7057,,,14753,,,,,
,6986,,,14647,,,,,
,6960,,,14958,,,,,
,6998,,,14831,,,,,
,7057,,,14516,,,,,
,6952,,,15322,,,,,
,6994,,,14908,,,,,
,7070,,,14859,,,,,
,6937,,,15081,,,,,
,6972,,,14525,,,,,
,7051,,,14879,,,,,
,6982,,,15037,,,,,
,7027,,,14900,,,,,
,6989,,,14712,,,,,
,6995,,,15118,,,,,
,7006,,,14604,,,,,
,7008,,,15041,,,,,
,7004,,,14789,,,,,
,7020,,,14925,,,,,
,6976,,,14911,,,,,
,6996,,,14749,,,,,
,6071,,,,,,,,