Run1,Run2,Run3
10643,15021,8820
11936,14994,8608
5012,13860,8814
4763,13654,8683
4961,12327,8782
9150,13090,8820
13141,11829,8858
14241,12073,8786
13685,11819,8677
13632,11347,8648
14067,10649,8617
13360,11975,8950
12875,11666,8790
11779,11235,8878
13026,11004,7624
14280,11866,9746
13691,11085,8937
11563,11846,8573
13982,11158,8635
14446,8312,8956
14242,8466,4951
14158,14053,6638
12749,8769,4998
13125,11547,5940
13188,13720,15691
13523,9967,11210
13131,13713,10150
12768,11321,9938
12838,9024,9159
12533,12687,8940
12578,9962,8815
12266,14005,8752
10573,13347,8689
13580,11266,8796
12613,11928,8728
11013,10642,125
14487,11919,11234
13896,11323,10924
12217,11538,10827
13819,10793,10901
13472,11757,11126
12886,11531,5864
12302,11294,5854
13124,9390,5344
13391,9394,5495
12006,13157,15263
10363,12861,11890
12625,12325,12602
12326,11612,10460
10169,8970,10081
14133,11515,10121
12775,12554,9834
13335,11335,9488
14456,5170,8940
12907,,8814
14782,,8741
13231,,8668
14154,,8630
14129,,9020
13601,,8748
14258,,8686
14289,,8470
14200,,9173
13970,,7746
14612,,9585
14049,,9030
14358,,8715
14467,,8686
14649,,8787
13533,,8811
14629,,8687
13722,,8773
15148,,7750
15436,,9358
14505,,9082
15708,,8856
14619,,8708
14959,,8897
14910,,8612
14694,,8675
14924,,8863
13818,,8727
13222,,8780
13977,,8779
11405,,
14422,,
15105,,
13237,,
13691,,
12900,,
12341,,
12728,,
12065,,
12909,,
12089,,
11840,,
7242,,